genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Ireland,11,17,51,64,27,170
Young Adult Contemporary,0,2,9,64,91,166
Christian Non Fiction,18,20,47,57,23,165
Survival,14,11,32,45,63,165
China,6,20,47,67,24,164
New York,16,25,35,59,29,164
Mental Illness,8,10,35,58,52,163
Superheroes,1,23,12,77,49,162
Death,7,11,25,66,51,160
Dark Fantasy,11,21,34,52,38,156
Theatre,29,23,50,36,17,155
Apocalyptic,6,13,17,36,82,154
Steampunk,4,3,18,63,66,154
Anthropology,24,30,48,36,13,151
Nobel Prize,27,31,35,38,19,150
Medical,10,18,38,59,24,149
Food,9,13,29,71,25,147
Zombies,0,2,1,37,107,147
Holocaust,15,24,36,51,20,146
Italian Literature,15,19,31,52,27,144
Kids,22,35,29,36,20,142
Indian Literature,6,20,32,43,40,141
Irish Literature,11,20,49,46,14,140
Jewish,19,33,27,45,16,140
Biology,18,17,36,45,23,139
Military History,11,19,32,57,20,139
Classic Literature,27,23,25,39,24,138
Fae,1,3,6,40,88,138
Books About Books,10,9,16,63,39,137
Modern,7,27,38,48,17,137
Noir,12,16,43,51,14,136
Writing,7,19,36,41,33,136
Popular Science,12,13,35,49,26,135
M F Romance,3,12,15,37,65,132
Race,20,12,44,35,19,130
Alternate History,9,19,20,50,31,129
Latin American,28,26,40,30,5,129
Environment,13,14,32,47,21,127
Spain,15,15,22,43,31,126
Victorian,20,18,28,43,17,126
21st Century,0,0,0,80,41,121
Historical Mystery,3,5,30,65,18,121
Regency Romance,0,9,35,54,23,121
Shojo,0,0,20,92,7,119
Shonen,0,2,22,84,9,117
Cozy Mystery,5,11,23,43,34,116
Cyberpunk,3,23,47,28,14,115
Theory,26,29,21,27,12,115
World History,19,16,29,43,8,115
European History,11,17,24,47,14,113
Christmas,7,10,27,43,25,112
18th Century,12,22,34,30,13,111
Physics,10,19,26,34,22,111
Russian Literature,28,21,23,27,12,111
Technology,8,14,18,27,42,109
Egypt,15,17,28,34,14,108
Dogs,4,11,13,43,34,105
Journalism,12,13,31,38,11,105
Parenting,8,15,19,46,17,105
Cats,8,12,11,45,28,104
Historical Fantasy,7,22,25,40,9,103
Management,1,22,28,35,17,103
Medicine,7,15,24,39,17,102
Indonesian Literature,3,19,9,54,16,101
Political Science,13,14,23,34,14,98
Finance,2,7,24,38,26,97
Horses,5,18,41,20,13,97
Lesbian,3,10,21,32,30,96
Film,9,14,21,38,12,94
Marriage,6,4,15,31,37,93
Psychological Thriller,4,5,8,19,57,93
Swedish Literature,5,8,21,34,24,92
Anime,0,0,9,75,6,90
Gender,9,20,28,17,16,90
Social Justice,6,10,22,33,19,90
Fairies,1,3,5,43,37,89
Fantasy Romance,0,0,12,49,28,89
Young Adult Romance,0,0,2,28,59,89
Buddhism,13,10,20,33,11,87
True Story,2,14,16,35,18,85
New Age,12,17,25,25,4,83
Portuguese Literature,16,20,14,23,10,83
Mathematics,3,21,20,24,14,82
Americana,12,21,22,20,5,80
Buisness,0,12,17,30,21,80
Holiday,4,7,23,32,13,79
Sexuality,7,14,22,26,10,79
Pirates,5,7,13,36,17,78
Turkish,9,10,16,35,8,78
Turkish Literature,8,11,18,32,9,78
Comix,3,12,20,36,6,77
Evolution,11,11,21,25,9,77
Sweden,1,3,19,31,23,77
Civil War,7,11,18,29,11,76
Pop Culture,1,9,16,32,18,76
Arthurian,16,20,16,18,5,75
Canadian Literature,15,12,18,25,5,75
Western Romance,0,13,26,25,11,75
Latin American Literature,20,18,19,14,3,74
Productivity,3,7,11,27,26,74
Urban,6,3,10,31,24,74
Metaphysics,9,20,15,22,7,73
Social Science,11,10,13,25,14,73
Police,5,5,24,34,4,72
Ancient,8,11,19,22,10,70
Seinen,1,2,20,40,7,70
Ancient History,14,8,18,22,7,69
Animal Fiction,1,7,19,33,9,69
Disability,0,1,11,17,40,69
English Literature,6,18,17,12,16,69
Academic,9,19,18,18,4,68
Futuristic,1,0,13,30,24,68
Society,9,9,10,23,16,67
Polish Literature,11,10,23,18,4,66
Greece,6,9,13,24,12,64
Storytime,7,15,11,20,11,64
Cooking,2,4,13,30,14,63
Entrepreneurship,2,7,12,23,18,62
Hard Science Fiction,5,9,20,25,3,62
Sword and Sorcery,9,18,15,14,6,62
Art History,5,9,17,19,10,60
Diary,2,9,11,21,17,60
Judaism,8,10,17,20,5,60
Marvel,0,11,3,30,16,60
Poland,6,13,18,19,4,60
Catholic,8,11,11,18,11,59
Dc Comics,1,15,8,20,15,59
Natural History,7,7,17,16,12,59
Spy Thriller,9,13,12,21,4,59
Bande Dessinée,5,11,9,27,6,58
Law,6,7,23,15,7,58
Portugal,9,12,11,17,8,57
World War I,5,6,11,22,13,57
Greek Mythology,1,0,2,21,32,56
Harlequin,2,13,12,11,18,56
Iran,7,8,13,21,7,56
Occult,10,14,14,10,8,56
17th Century,9,7,10,18,11,55
How To,6,9,10,22,8,55
Literary Criticism,10,11,14,13,7,55
Sports Romance,0,1,2,5,47,55
Astronomy,4,8,12,20,10,54
Atheism,3,5,10,24,12,54
Fairy Tale Retellings,2,2,6,19,25,54
Money,0,4,13,23,14,54
Star Wars,2,0,24,22,6,54
Lds,4,6,17,20,6,53
Dutch Literature,5,10,5,23,9,52
Language,6,13,14,13,6,52
Short Story Collection,5,10,11,20,5,51
16th Century,5,4,8,20,13,50
Legal Thriller,0,3,21,18,8,50
Medieval Romance,1,11,16,16,6,50
Christian Historical Fiction,0,1,8,19,21,49
Menage,0,0,1,22,26,49
Neuroscience,4,7,6,22,10,49
Clean Romance,3,0,3,15,27,48
Cookbooks,2,3,10,23,10,48
Photography,4,5,9,19,11,48
Church,4,5,17,16,5,47
Israel,3,6,12,18,8,47
Research,7,9,10,11,10,47
2nd Grade,1,5,3,32,5,46
Design,6,7,6,18,9,46
Teaching,4,6,14,17,5,46
Young Adult Paranormal,0,0,0,12,34,46
Amish,0,0,1,15,29,45
Boarding School,3,1,3,21,17,45
Christian Fantasy,0,1,4,17,23,45
Dungeons and Dragons,1,10,20,11,3,45
Native Americans,10,6,16,10,3,45
Computer Science,4,9,12,10,9,44
Criticism,6,12,11,9,6,44
Ecology,4,5,13,14,8,44
Female Authors,5,10,10,15,4,44
Military Science Fiction,2,3,13,14,12,44
Tudor Period,1,4,4,28,7,44
American Fiction,10,12,12,8,1,43
Romantic,3,0,3,13,24,43
Weird Fiction,3,5,6,17,12,43
Heroic Fantasy,1,8,18,13,2,42
Lesbian Fiction,2,2,5,16,17,42
Mermaids,0,1,1,19,21,42
